objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
119838,SN,2022aaah,332.92293333333333,-35.37994167,0.0313,,SN Ia-91T-like,,ATLAS,,ATLAS,2022/11/7 18:31,18.162,orange-ATLAS,orange-ATLAS,,,ATLAS22blqz,None,None,,
119847,SN,2022aaaq,37.09912083333334,-20.9068,0.086,,SN Ia,,"ATLAS, ZTF, Pan-STARRS",,"ATLAS, ZTF, Pan-STARRS",2022/11/11 22:20,18.391,orange-ATLAS,orange-ATLAS,,,ATLAS22blsf,None,None,,
119854,SN,2022aaaw,16.54435416666667,1.3619166666666667,0.045,,SN Ia,,"ZTF, YSE, ATLAS",,"ZTF, Pan-STARRS, ATLAS",2022/11/11 6:44,18.4,r-ZTF,r-ZTF,,,ZTF22abtextj,None,None,,
119855,SN,2022aaax,349.2564041666667,34.60256666666667,0.061645,,SN Ia,,ZTF,,ZTF,2022/11/11 3:15,19.12,r-ZTF,r-ZTF,,,ZTF22abtciik,None,None,,
119894,SN,2022aack,118.12849583333335,-52.28741389,0.044,,SN Ia,,ATLAS,,ATLAS,2022/11/5 7:13,18.898,orange-ATLAS,orange-ATLAS,,,ATLAS22blso,None,None,,
119900,SN,2022aacq,189.35445833333333,-5.407019444,0.047,,SN Ia,,"ZTF, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/11/12 13:01,17.94,r-ZTF,r-ZTF,,,ZTF22abtkkxz,None,None,,
119902,SN,2022aacs,204.6081625,24.746675,0.067,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/11/12 12:50,19.76,r-ZTF,r-ZTF,,,ZTF22abtkkgo,None,None,,
119907,SN,2022aacx,167.91287916666667,37.094858333333335,0.072683,,SN Ia,,"ZTF, Pan-STARRS, ATLAS, Fink",,"ZTF, Pan-STARRS, ATLAS",2022/11/10 11:49,19.68,r-ZTF,r-ZTF,,,ZTF22abtootl,None,None,,
119911,SN,2022aadb,341.1715666666667,21.149230555555555,0.063,,SN Ia,,"ZTF, ATLAS, YSE",,"ZTF, ATLAS, Pan-STARRS",2022/11/11 3:56,20.1,r-ZTF,r-ZTF,,,ZTF22abtdoxf,None,None,,
119917,SN,2022aadh,31.632350000000002,-2.721175,0.076,,SN Ia,,"ATLAS, YSE, Pan-STARRS",,"ATLAS, Pan-STARRS",2022/11/13 10:47,18.792,orange-ATLAS,orange-ATLAS,,,ATLAS22bltv,None,None,,
119919,SN,2022aadj,57.4381,-42.78834722,0.073,,SN Ia,,ATLAS,,ATLAS,2022/11/13 6:27,18.952,orange-ATLAS,orange-ATLAS,,,ATLAS22blua,None,None,,
119921,SN,2022aadl,210.18045416666666,20.606291666666667,0.027844,,SN Ia,,ALeRCE,,ZTF,2022/11/13 13:13,17.1537,r-ZTF,r-ZTF,,,ZTF22abtowei,None,None,,
119924,SN,2022aado,65.66127916666666,-1.938380556,0.097,,SN Ia,,"ALeRCE, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/11/11 7:59,19.1886,r-ZTF,r-ZTF,,,ZTF22abtnuch,None,None,,
119927,SN,2022aadr,18.903591666666667,15.541297222222223,0.085,,SN Ia,,"ALeRCE, Pan-STARRS",,"ZTF, Pan-STARRS",2022/11/13 5:16,20.0745,g-ZTF,g-ZTF,,,ZTF22abtlsxw,None,None,,
119990,SN,2022aagc,351.7900833333333,-0.065566667,0.0832,,SN Ia-91T-like,,"YSE, ZTF, ATLAS, Pan-STARRS, Fink",,"Pan-STARRS, ZTF, ATLAS",2022/11/14 5:01,20.08,r-P1,r-P1,,,PS22lgu,None,None,,
120004,SN,2022aagq,257.30149166666666,40.92014444444444,0.027619,,SN Ia,,"ALeRCE, ATLAS",,"ZTF, ATLAS",2022/11/14 3:22,18.0307,g-ZTF,g-ZTF,,,ZTF22abtpejn,None,None,,
120005,SN,2022aagr,176.1371125,21.57661388888889,0.067029,,SN Ia,,"ZTF, ATLAS",,"ZTF, ATLAS",2022/11/6 11:58,19.12,g-ZTF,g-ZTF,,,ZTF22abtbjbo,None,None,,
120023,SN,2022aahj,117.03607083333333,48.046438888888886,0.080009,,SN Ia,,"ALeRCE, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/11/14 11:13,19.3645,g-ZTF,g-ZTF,,,ZTF22abtslvh,None,None,,
120039,SN,2022aahz,186.47771666666665,6.750816666666666,0.07,,SN Ia,,"ZTF, YSE, ATLAS",,"ZTF, Pan-STARRS, ATLAS",2022/11/12 12:44,19.84,r-ZTF,r-ZTF,,,ZTF22abtotgu,None,None,,
120045,SN,2022aaif,279.53961666666663,66.85975833333333,0.0496,,SN Ia,,"ATLAS, ZTF, Fink",,"ATLAS, ZTF",2022/11/14 5:47,18.542,cyan-ATLAS,cyan-ATLAS,,,ATLAS22blwi,None,None,,
120049,SN,2022aaij,185.1652,-9.624211111,0.055,,SN Ia,,ZTF,,ZTF,2022/11/13 13:06,18.27,r-ZTF,r-ZTF,,,ZTF22abtoves,None,None,,
120052,SN,2022aaim,331.0206166666667,8.688208333333334,0.11,,SN Ia,,"ATLAS, Pan-STARRS",,"ATLAS, Pan-STARRS",2022/11/13 6:53,19.008,orange-ATLAS,orange-ATLAS,,,ATLAS22blxq,None,None,,
120056,SN,2022aaiq,216.63337916666669,56.58421388888889,0.006484,,SN Ia,,"ZTF, ATLAS, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/11/15 1:22,16,Clear-,Clear-,,,,None,None,,
120062,SN,2022aaiw,92.54654583333333,-27.59810278,0.055,,SN Ia,,"ATLAS, ZTF",,"ATLAS, ZTF",2022/11/14 5:48,18.414,orange-ATLAS,orange-ATLAS,,,ATLAS22blxw,None,None,,
120065,SN,2022aaiz,75.28219166666666,6.511211111111111,0.078,,SN Ia,,ATLAS,,ATLAS,2022/11/14 1:12,18.425,orange-ATLAS,orange-ATLAS,,,ATLAS22blyb,None,None,,
120079,SN,2022aajn,107.06482083333334,21.072602777777778,0.043,,SN Ia,,"ALeRCE, ATLAS, Fink, Pan-STARRS",,"ZTF, ATLAS, Pan-STARRS",2022/11/15 9:49,18.846,r-ZTF,r-ZTF,,,ZTF22abtybkh,None,None,,
120086,SN,2022aaju,324.85490416666664,0.8209,0.086,,SN Ia,,"ALeRCE, ATLAS, Fink",,"ZTF, ATLAS",2022/11/13 4:00,20.3987,g-ZTF,g-ZTF,,,ZTF22abttupc,None,None,,
