date,twilight_window,n_candidates,n_planned,unique_targets_observed,repeat_fraction,sum_time_s,dp_time_s,backfill_time_s,window_cap_s,swap_count,internal_filter_changes,filter_change_s_total,inter_exposure_guard_s,inter_exposure_guard_count,mean_slew_s,median_airmass,loaded_filters,filters_used_csv,window_start_utc,window_end_utc,window_duration_s,window_mid_utc,sun_alt_mid_deg,policy_filters_mid_csv,window_utilization,cap_utilization,cap_source,median_sky_mag_arcsec2,median_alt_deg,cad_median_abs_err_by_filter_csv,cad_within_pct_by_filter_csv,cad_median_abs_err_all_d,cad_within_pct_all,quota_assigned,n_candidates_pre_cap,n_candidates_post_cap
2022-12-31,evening,80,47,47,0.0,926.3,826.3,100.0,960,0,0,0.0,358.5,46,7.053306968168348,1.1877141831415008,"g,r,i,z",i,2023-01-01T00:32:00+00:00,2023-01-01T00:48:00+00:00,960,2023-01-01T00:40:00+00:00,-10.47,"r,i,g,z",0.9649,0.9649,window_duration,17.524944244274756,57.29,,,,,500,80,80
2022-12-31,morning,84,49,49,0.0,955.0,934.8,20.1,960,0,0,0.0,385.1,46,6.846615714052213,1.2943266638615691,"g,r,i,z",g,2023-01-01T08:44:00+00:00,2023-01-01T09:00:00+00:00,960,2023-01-01T08:52:00+00:00,-10.58,"r,i,g,z",0.9947,0.9947,window_duration,18.610412899315637,50.53,,,,,499,84,84
2023-01-01,evening,90,48,48,0.0,945.6,823.8,121.8,960,0,0,0.0,377.1,46,6.867537644852862,1.191866381387305,"g,r,i,z",z,2023-01-02T00:32:00+00:00,2023-01-02T00:48:00+00:00,960,2023-01-02T00:40:00+00:00,-10.43,"r,i,g,z",0.985,0.985,window_duration,16.504329534185494,56.975,,,,,500,90,90
2023-01-01,morning,84,49,49,0.0,959.3,819.3,140.0,960,0,0,0.0,363.8,46,7.337436175944792,1.2840297032887233,"g,r,i,z",r,2023-01-02T08:45:00+00:00,2023-01-02T09:01:00+00:00,960,2023-01-02T08:53:00+00:00,-10.54,"r,i,g,z",0.9992,0.9992,window_duration,18.781774088777823,51.09,,,,,499,84,84
2023-01-02,evening,96,45,45,0.0,881.5,881.5,0.0,900,0,0,0.0,374.9,44,6.336737192954097,1.2025557925141968,"g,r,i,z",g,2023-01-03T00:33:00+00:00,2023-01-03T00:48:00+00:00,900,2023-01-03T00:40:30+00:00,-10.5,"r,i,g,z",0.9795,0.9795,window_duration,17.936584453487615,56.2,,,,,483,96,96
2023-01-02,morning,82,43,43,0.0,957.8,821.0,136.8,960,1,0,120.0,330.7,39,6.962049410677623,1.304487059758256,"g,r,i,z","g,i",2023-01-03T08:46:00+00:00,2023-01-03T09:02:00+00:00,960,2023-01-03T08:54:00+00:00,-10.51,"r,i,g,z",0.9977,0.9977,window_duration,17.80129194742969,49.99,,,,,516,82,82
2023-01-03,evening,93,43,43,0.0,841.0,821.0,20.0,960,0,0,0.0,343.2,42,6.670597918889438,1.1768154428454307,"g,r,i,z",r,2023-01-04T00:33:00+00:00,2023-01-04T00:49:00+00:00,960,2023-01-04T00:41:00+00:00,-10.57,"r,i,g,z",0.876,0.876,window_duration,18.177075544337637,58.12,,,,,500,93,93
2023-01-03,morning,82,43,43,0.0,960.0,821.0,139.0,960,1,0,120.0,332.5,41,6.894561296018922,1.2510036879105848,"g,r,i,z","g,z",2023-01-04T08:47:00+00:00,2023-01-04T09:03:00+00:00,960,2023-01-04T08:55:00+00:00,-10.47,"r,i,g,z",1.0,1.0,window_duration,16.69995242930078,53.01,,,,,499,82,82
2023-01-04,evening,91,44,44,0.0,863.5,822.3,41.2,960,0,0,0.0,351.6,42,6.695456998716183,1.1842702935742686,"g,r,i,z",i,2023-01-05T00:33:00+00:00,2023-01-05T00:49:00+00:00,960,2023-01-05T00:41:00+00:00,-10.55,"r,i,g,z",0.8994,0.8994,window_duration,17.42426634830339,57.55,i:0.0,i:100.0,0.002,100.0,500,91,91
2023-01-04,morning,82,49,49,0.0,953.4,933.4,20.0,960,0,0,0.0,379.9,48,6.9405316663626095,1.276050151502857,"g,r,i,z",g,2023-01-05T08:48:00+00:00,2023-01-05T09:04:00+00:00,960,2023-01-05T08:56:00+00:00,-10.44,"r,i,g,z",0.9932,0.9932,window_duration,18.418382937018887,51.54,g:0.0,g:100.0,0.002,100.0,499,82,82
